nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
ACTIVO_FAMILIA,ACTIVO_FAMILIA|COFFEE-OTC|CONTINUACIÓN,11,5,6,45.45,-1.07,DEBIL,MUY_BAJA,47.9,30.59,65.21,False,11,,,,,,0,,COFFEE-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|NZDCHF-OTC|CONTINUACIÓN,11,4,7,36.36,-1.73,DEBIL,MUY_BAJA,44.68,27.45,61.9,False,11,,,,,,0,,NZDCHF-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|USDSGD-OTC|REVERSIÓN,11,3,8,27.27,-2.2,DEBIL,MUY_BAJA,41.45,24.38,58.52,False,11,,,,,,0,,USDSGD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|CONTINUACION+REACCIÓN_ZONA+ZONA_GENERICA,11,1,10,9.09,-2.2,DEBIL,MUY_BAJA,35.0,18.47,51.53,False,11,,,,,,0,,COFFEE-OTC,call,REACCIÓN_ZONA,TENDENCIA,ALCISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|NZDCHF-OTC|REVERSIÓN,10,7,3,70.0,1.64,FAVORABLE,MUY_BAJA,56.17,38.7,73.63,False,10,,,,,,0,,NZDCHF-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|USDSGD-OTC|REVERSIÓN_ESTRUCTURAL,10,7,3,70.0,1.64,FAVORABLE,MUY_BAJA,56.17,38.7,73.63,False,10,,,,,,0,,USDSGD-OTC,put,REVERSIÓN_ESTRUCTURAL,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REVERSIÓN|ALCISTA_DEBIL,10,7,3,70.0,1.64,FAVORABLE,MUY_BAJA,56.17,38.7,73.63,False,10,,,,,,0,,USDSGD-OTC,call,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|USDSGD-OTC|CONTINUACIÓN,10,5,5,50.0,0.0,NEUTRO,MUY_BAJA,49.5,31.9,67.1,False,10,,,,,,0,,USDSGD-OTC,call,CONTINUACIÓN,TENDENCIA,ALCISTA_NORMAL,,,,
CLAVE_ESPECIFICA,CLAVE_ESPECIFICA|AIG-OTC|PUT|CONTINUACIÓN|TENDENCIA|BAJISTA_NORMAL,10,4,6,40.0,-1.36,DEBIL,MUY_BAJA,46.17,28.62,63.72,False,10,,,,,,0,,AIG-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|CALL|REVERSIÓN|TENDENCIA|BAJISTA_FUERTE,10,2,8,20.0,-2.05,DEBIL,MUY_BAJA,39.5,22.29,56.71,False,10,,,,,,0,,NZDJPY-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_FUERTE,,,,
