nivel,clave,total,wins,losses,winrate,ajuste_confianza,decision_aprendizaje,confiabilidad_muestra,probabilidad_ajustada,intervalo_inferior,intervalo_superior,estabilidad_disponible,muestra_estabilidad,wr_inicio,wr_medio,wr_reciente,dispersion_temporal,cambio_inicio_reciente,bloques_mismo_lado_prior,persistencia_direccion,activo,direccion,familia_setup,tipo_mercado,estado_tendencia,firma_pa,firma_mercado,firma_estrategia,firma_evidencias_exacta
CONTEXTO_SETUP,CONTEXTO_SETUP|CALL|REVERSIÓN|SWEEP_ALCISTA|SWEEP_RUPTURA_CONFIRMABLE|TENDENCIA,189,95,94,50.26,0.0,NEUTRO,ALTA,50.17,43.4,56.93,True,189,58.73,47.62,44.44,14.29,-14.29,1,0.333,USDSGD-OTC,call,REVERSIÓN,TENDENCIA,INDEFINIDA,,,,
CONTEXTO_TECNICO,CONTEXTO_TECNICO|CALL|REVERSIÓN|TENDENCIA|BAJISTA_NORMAL,181,87,94,48.07,0.0,NEUTRO,ALTA,48.18,41.29,55.07,True,181,50.82,45.0,48.33,5.82,-2.49,2,0.667,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FIRMA_EVIDENCIAS_EXACTA,FIRMA_EVIDENCIAS_EXACTA|BAJISTA_NORMAL+CALL+REVERSIÓN+TENDENCIA,181,87,94,48.07,0.0,NEUTRO,ALTA,48.18,41.29,55.07,True,181,50.82,45.0,48.33,5.82,-2.49,2,0.667,LTCUSD-OTC,call,REVERSIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|REACCIÓN_ZONA|CALL,178,82,96,46.07,-2.32,DEBIL,ALTA,46.39,39.46,53.32,True,178,41.67,49.15,47.46,7.48,5.79,3,1.0,EURCAD-OTC,call,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
FAMILIA_MERCADO,FAMILIA_MERCADO|REACCIÓN_ZONA|RANGO,174,83,91,47.7,-2.05,DEBIL,ALTA,47.86,40.85,54.87,True,174,50.0,43.1,50.0,6.9,0.0,1,0.333,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
SETUP_EVIDENCIAS,SETUP_EVIDENCIAS|INDEFINIDO+REACCIÓN_ZONA+ZONA_RECHAZO_CONFIRMADO,173,83,90,47.98,-2.0,DEBIL,ALTA,48.11,41.08,55.14,True,173,48.28,48.28,47.37,0.91,-0.91,3,1.0,NZDJPY-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
FAMILIA_TENDENCIA,FAMILIA_TENDENCIA|REACCIÓN_ZONA|INDEFINIDA,164,76,88,46.34,-2.28,DEBIL,ALTA,46.66,39.47,53.85,True,164,40.0,47.27,51.85,11.85,11.85,2,0.667,USDSGD-OTC,put,REACCIÓN_ZONA,RANGO,INDEFINIDA,,,,
FAMILIA_DIRECCION,FAMILIA_DIRECCION|CONTINUACIÓN|PUT,164,73,91,44.51,-2.58,DEBIL,ALTA,45.03,37.86,52.2,True,164,36.36,49.09,48.15,12.73,11.79,3,1.0,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
CONTEXTO_SETUP,CONTEXTO_SETUP|PUT|CONTINUACIÓN|CONTINUACION|PULLBACK_GENERICO|TENDENCIA,161,73,88,45.34,-2.44,DEBIL,ALTA,45.77,38.54,53.01,True,161,37.04,50.0,49.06,12.96,12.02,2,0.667,LTCUSD-OTC,put,CONTINUACIÓN,TENDENCIA,BAJISTA_NORMAL,,,,
ACTIVO_FAMILIA,ACTIVO_FAMILIA|UKOUSD-OTC|REVERSIÓN,154,84,70,54.55,0.0,NEUTRO,ALTA,53.94,46.55,61.32,True,154,57.69,56.86,49.02,8.67,-8.67,2,0.667,UKOUSD-OTC,put,REVERSIÓN,TENDENCIA,ALCISTA_DEBIL,,,,
